time,response_time,active_pods_count,cpu_load,current_power_of_attack
2022-03-04 15:06:52.267848,0.4,1 1 1 1 1,1 1 1 1 1,2
2022-03-04 15:06:54.133871,0.4,1 1 1 1 1,1 1 1 1 1,2
2022-03-04 15:06:56.034115,0.4,1 1 1 1 1,1 1 1 1 1,2
2022-03-04 15:06:57.901049,0.4,1 1 1 1 1,1 1 1 1 1,2
2022-03-04 15:06:59.744626,0.4,1 1 1 1 1,1 1 1 1 1,2
2022-03-04 15:07:01.660427,0.4,1 1 1 1 1,1 1 1 1 1,2
2022-03-04 15:07:03.538655,0.4,1 1 1 1 1,1 1 1 1 1,2
2022-03-04 15:07:05.412161,0.4,1 1 1 1 1,1 1 1 1 1,2
2022-03-04 15:07:07.256000,0.4,1 1 1 1 1,1 1 1 1 1,2
2022-03-04 15:07:10.122588,1.4,1 1 1 1 1,1 1 1 1 1,2
2022-03-04 15:07:12.015997,0.4,1 1 1 1 1,1 1 1 1 1,2
2022-03-04 15:07:13.897851,0.4,1 1 1 1 1,1 1 1 1 1,14
2022-03-04 15:07:15.765949,0.5,1 1 1 1 1,1 1 1 1 1,14
2022-03-04 15:07:18.402531,0.4,1 1 1 1 1,1 1 1 1 1,14
2022-03-04 15:07:20.401477,0.4,1 1 1 1 1,1 1 1 1 1,14
2022-03-04 15:07:22.359591,0.5,1 1 1 1 1,1 1 1 1 1,14
2022-03-04 15:07:24.415657,0.6,1 1 1 1 1,1 2 1 3 1,14
2022-03-04 15:07:26.338576,0.4,1 1 1 1 1,1 2 1 3 1,14
2022-03-04 15:07:28.416449,0.6,1 1 1 1 1,1 2 1 3 1,14
2022-03-04 15:07:30.842207,0.5,1 1 1 1 1,1 2 1 3 1,14
2022-03-04 15:07:33.392328,0.6,1 1 1 1 1,1 2 1 3 1,14
2022-03-04 15:07:35.348630,0.5,1 1 1 1 1,1 2 1 3 1,14
2022-03-04 15:07:38.533010,0.5,1 1 1 1 1,4 2 1 3 1,14
2022-03-04 15:07:40.654057,0.4,1 1 1 1 1,4 2 1 3 1,14
2022-03-04 15:07:43.174875,0.5,1 1 1 1 1,4 2 1 3 1,14
2022-03-04 15:07:45.246510,0.5,1 1 1 1 1,4 2 1 3 1,14
2022-03-04 15:07:47.960113,0.5,1 1 1 1 1,4 2 1 3 1,14
2022-03-04 15:07:49.927641,0.5,1 1 1 1 1,4 2 1 3 1,14
2022-03-04 15:07:52.036757,0.5,1 1 1 1 1,4 2 1 3 1,14
2022-03-04 15:07:54.418245,0.6,1 1 1 1 1,4 2 1 111 1,14
2022-03-04 15:07:56.623274,0.5,1 1 1 1 1,4 137 4 111 1,14
2022-03-04 15:07:58.762828,0.4,1 1 1 1 1,4 137 4 111 1,14
2022-03-04 15:08:00.879811,0.5,1 1 1 1 1,4 137 4 111 1,14
2022-03-04 15:08:03.131401,0.6,1 1 1 1 1,4 137 4 111 1,14
2022-03-04 15:08:05.253266,0.4,1 1 1 1 1,4 137 4 111 1,14
2022-03-04 15:08:07.481274,0.5,1 1 1 1 1,4 137 4 111 67,14
2022-03-04 15:08:09.880062,0.5,1 3 1 3 1,4 137 4 111 67,14
2022-03-04 15:08:12.232527,0.5,1 3 1 3 1,4 137 4 111 67,14
2022-03-04 15:08:14.594174,0.5,1 3 1 3 1,4 137 4 111 67,14
2022-03-04 15:08:16.991251,0.4,1 3 1 3 1,4 137 4 111 67,14
2022-03-04 15:08:19.410417,0.6,1 3 1 3 1,4 137 4 111 67,14
2022-03-04 15:08:21.705883,0.5,1 3 1 3 2,4 137 4 111 67,14
2022-03-04 15:08:24.056190,0.4,1 3 1 3 2,165 137 4 111 67,14
2022-03-04 15:08:27.403245,1.3,1 3 1 3 2,165 137 147 111 67,14
2022-03-04 15:08:30.004496,0.4,1 3 1 3 2,165 137 147 111 67,14
2022-03-04 15:08:32.555591,0.5,1 3 1 3 2,165 137 147 111 67,14
2022-03-04 15:08:35.117965,0.4,1 3 1 3 2,165 137 147 111 67,14
2022-03-04 15:08:38.694106,0.4,1 3 1 3 2,165 137 147 111 82,14
2022-03-04 15:08:42.264385,0.4,4 3 3 3 2,165 137 147 111 82,14
2022-03-04 15:08:45.094071,0.4,4 3 3 3 2,165 137 147 111 82,14
2022-03-04 15:08:47.871456,0.4,4 3 3 3 2,165 137 147 111 82,14
2022-03-04 15:08:50.640655,0.5,4 3 3 3 2,165 137 147 111 82,14
