time,response_time,active_pods_count,cpu_load,current_power_of_attack
2022-03-01 19:45:05.872890,0.4,1 1 1 1,1 1 1 1,2
2022-03-01 19:45:07.714238,0.4,1 1 1 1,1 1 1 1,2
2022-03-01 19:45:09.557008,0.4,1 1 1 1,1 1 1 1,2
2022-03-01 19:45:11.400570,0.4,1 1 1 1,1 1 1 1,2
2022-03-01 19:45:13.246861,0.4,1 1 1 1,1 1 1 1,2
2022-03-01 19:45:15.084108,0.4,1 1 1 1,1 1 1 1,2
2022-03-01 19:45:16.939635,0.4,1 1 1 1,1 1 1 1,2
2022-03-01 19:45:18.761089,0.4,1 1 1 1,1 1 1 1,2
2022-03-01 19:45:20.515694,0.4,1 1 1 1,1 1 1 1,2
2022-03-01 19:45:22.359061,0.4,1 1 1 1,1 1 1 1,2
2022-03-01 19:45:24.204372,0.4,1 1 1 1,1 1 1 1,2
2022-03-01 19:45:26.161639,0.4,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:27.865008,0.4,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:29.616137,0.4,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:31.337994,0.3,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:32.992875,0.3,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:34.642385,0.4,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:36.422182,0.4,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:38.075987,0.4,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:39.716614,0.4,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:41.450992,0.4,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:43.247869,0.4,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:44.888483,0.4,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:46.591416,0.3,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:48.216440,0.3,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:49.872866,0.4,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:51.810165,0.3,1 1 1 1,1 1 1 1,14
2022-03-01 19:45:53.482239,0.4,1 1 1 1,1 2 20 1,14
2022-03-01 19:45:55.169732,0.4,1 1 1 1,1 2 20 1,14
2022-03-01 19:45:56.904116,0.5,1 1 1 1,1 2 20 1,14
2022-03-01 19:45:58.575988,0.4,1 1 1 1,1 2 20 1,14
2022-03-01 19:46:00.138490,0.3,1 1 1 1,1 2 20 1,14
2022-03-01 19:46:01.794743,0.3,1 1 1 1,1 2 20 1,14
2022-03-01 19:46:03.388293,0.4,1 1 1 1,1 2 20 1,14
2022-03-01 19:46:05.107232,0.4,1 1 1 1,1 2 20 1,14
2022-03-01 19:46:06.841620,0.5,1 1 1 1,1 2 20 1,14
2022-03-01 19:46:08.638488,0.4,1 1 1 1,1 2 20 1,14
2022-03-01 19:46:10.325992,0.4,1 1 1 1,1 2 20 1,14
