time,response_time,active_pods_count,cpu_load,current_power_of_attack
2022-03-02 07:37:48.350577,0.5,1 1 1 1,0 0 0 0,2
2022-03-02 07:37:50.460111,0.5,1 1 1 1,1 0 0 1,2
2022-03-02 07:37:52.303864,0.4,1 1 1 1,1 1 1 1,2
2022-03-02 07:37:54.147609,0.4,1 1 1 1,1 1 1 1,2
2022-03-02 07:37:55.991364,0.4,1 1 1 1,1 1 1 1,2
2022-03-02 07:37:57.944461,0.5,1 1 1 1,1 1 1 1,2
2022-03-02 07:38:00.100730,0.5,1 1 1 1,1 1 1 1,2
2022-03-02 07:38:01.928863,0.4,1 1 1 1,1 1 1 1,2
2022-03-02 07:38:03.819281,0.5,1 1 1 1,1 1 1 1,2
2022-03-02 07:38:05.678841,0.4,1 1 1 1,1 1 1 1,2
2022-03-02 07:38:07.569468,0.4,1 1 1 1,1 1 1 1,2
2022-03-02 07:38:09.444446,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:11.241358,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:13.147612,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:15.038234,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:16.803862,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:18.600727,0.5,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:20.350541,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:22.116349,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:23.835111,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:25.553851,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:27.428858,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:29.147600,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:30.975566,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:32.788033,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:34.709934,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:36.491359,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:38.381974,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:40.241364,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:42.069484,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:44.116360,0.5,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:45.991360,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:47.694287,0.4,1 1 1 1,1 1 1 1,14
2022-03-02 07:38:49.491167,0.4,1 1 1 1,91 1 1 54,14
2022-03-02 07:38:51.366359,0.5,1 1 1 1,91 1 1 54,14
2022-03-02 07:38:53.303870,0.4,1 1 1 1,91 1 116 54,14
2022-03-02 07:38:55.100737,0.4,1 1 1 1,91 1 116 54,14
2022-03-02 07:38:56.928858,0.4,1 1 1 1,91 1 116 54,14
2022-03-02 07:38:58.756993,0.5,1 1 1 1,91 1 116 54,14
2022-03-02 07:39:00.475549,0.4,1 1 1 1,91 1 116 54,14
2022-03-02 07:39:02.256985,0.4,1 1 1 1,91 1 116 54,14
2022-03-02 07:39:04.085112,0.4,1 1 1 1,91 1 116 54,14
2022-03-02 07:39:05.866361,0.4,2 1 1 1,91 1 116 54,14
2022-03-02 07:39:07.772613,0.5,2 1 3 1,91 1 116 54,14
2022-03-02 07:39:09.538214,0.5,2 1 3 1,91 1 116 54,14
2022-03-02 07:39:11.256977,0.4,2 1 3 1,91 1 116 54,14
2022-03-02 07:39:13.022608,0.4,2 1 3 1,91 1 116 54,14
2022-03-02 07:39:14.897422,0.4,2 1 3 1,91 1 116 54,14
2022-03-02 07:39:16.741367,0.4,2 1 3 1,91 1 116 54,14
2022-03-02 07:39:18.522610,0.4,2 1 3 1,91 1 116 54,14
2022-03-02 07:39:20.460090,0.5,2 1 3 1,91 1 116 217,14
