time,response_time,active_pods_count,cpu_load,current_power_of_attack
2022-02-28 22:32:29.708285,0.4,1 1 1 1 1,0 0 0 1 1,2
2022-02-28 22:32:36.223911,0.4,1 1 1 1 1,0 1 1 1 1,2
2022-02-28 22:32:51.158436,0.4,1 1 1 1 1,1 1 1 1 1,2
2022-02-28 22:33:02.036265,1.4,1 1 1 1 1,1 1 1 1 1,2
2022-02-28 22:33:09.971732,0.5,1 1 1 1 1,1 1 1 1 1,2
2022-02-28 22:33:17.297166,0.5,1 1 1 1 1,1 1 1 1 1,2
2022-02-28 22:33:26.807689,0.4,1 1 1 1 1,1 1 1 1 1,2
2022-02-28 22:33:36.338972,0.5,1 1 1 1 1,1 1 1 1 1,2
2022-02-28 22:33:43.776648,1.4,1 1 1 1 1,1 1 1 1 1,2
2022-02-28 22:33:52.090600,0.5,1 1 1 1 1,1 1 2 1 1,2
2022-02-28 22:34:01.028940,0.5,1 1 1 1 1,1 1 2 1 1,2
2022-02-28 22:34:10.448952,0.5,1 1 1 1 1,1 1 2 1 1,14
2022-02-28 22:34:17.784655,0.6,1 1 1 1 1,1 1 2 1 1,14
2022-02-28 22:34:29.242554,0.6,1 1 1 1 1,1 1 2 1 1,14
2022-02-28 22:34:38.914452,0.5,1 1 1 1 1,1 2 2 1 1,14
2022-02-28 22:34:49.799348,0.5,1 1 1 1 1,1 2 2 1 1,14
2022-02-28 22:34:58.961615,1.4,1 1 1 1 1,1 2 2 1 1,14
2022-02-28 22:35:15.065148,0.5,1 1 1 1 1,1 201 2 178 1,14
2022-02-28 22:35:30.985511,0.4,1 4 3 4 1,111 201 143 178 1,14
2022-02-28 22:35:52.217311,0.4,3 5 3 4 1,111 201 143 178 146,14
2022-02-28 22:36:15.829748,0.4,3 5 3 4 3,111 201 143 178 146,14
2022-02-28 22:36:35.163581,0.4,3 5 3 6 3,19 50 30 66 146,14
2022-02-28 22:37:02.206800,0.4,3 5 3 6 4,19 69 72 35 58,2
2022-02-28 22:37:21.953414,0.5,3 7 5 6 4,19 69 72 36 58,2
2022-02-28 22:37:40.484658,0.5,4 7 5 6 4,61 69 72 36 58,2
2022-02-28 22:38:05.421335,1.3,4 7 5 6 4,61 62 63 28 53,2
2022-02-28 22:38:30.707142,1.4,4 7 5 6 4,61 23 15 16 1,2
2022-02-28 22:38:52.560436,0.5,4 7 5 6 4,1 1 15 1 1,2
2022-02-28 22:39:15.285754,0.5,4 7 5 6 4,34 20 15 1 1,2
2022-02-28 22:39:39.772958,1.3,4 7 5 6 4,1 1 1 1 1,2
2022-02-28 22:40:03.079285,0.5,4 7 5 6 4,1 1 1 1 1,2
2022-02-28 22:40:55.958982,0.5,4 7 5 6 4,1 1 1 1 1,2
2022-02-28 22:41:41.706892,0.5,4 7 5 6 4,34 1 34 1 1,2
2022-02-28 22:42:33.298195,1.4,4 7 5 5 4,1 20 1 1 1,2
2022-02-28 22:43:22.782733,1.4,4 7 4 5 4,1 1 1 1 1,2
2022-02-28 22:43:53.782514,0.5,3 3 3 3 3,1 1 1 1 1,2
2022-02-28 22:44:27.416011,0.5,3 3 3 3 3,1 1 1 34 1,2
2022-02-28 22:45:04.519483,0.5,3 3 3 3 3,1 1 1 1 1,2
2022-02-28 22:45:41.354988,0.5,3 3 3 3 3,1 1 1 1 1,2
2022-02-28 22:46:30.041629,0.5,3 3 3 3 3,1 1 1 1 1,2
2022-02-28 22:46:59.966842,0.5,1 3 3 3 1,1 1 1 1 1,2
2022-02-28 22:47:28.772075,0.5,1 3 3 3 1,1 1 1 1 1,2
2022-02-28 22:48:02.540901,0.5,1 3 3 3 1,1 1 1 1 1,2
2022-02-28 22:48:30.588166,0.5,1 3 3 3 1,1 1 1 1 1,2
2022-02-28 22:48:59.947696,0.5,1 3 3 3 1,1 1 1 1 1,2
2022-02-28 22:49:26.099937,0.5,1 3 3 1 1,1 1 1 1 1,2
2022-02-28 22:49:48.459326,1.4,1 3 3 1 1,1 1 1 1 1,2
2022-02-28 22:50:11.311979,0.5,1 3 3 1 1,1 1 1 1 1,2
2022-02-28 22:50:35.649701,0.5,1 1 1 1 1,1 1 1 1 1,2
2022-02-28 22:50:50.342615,0.7,1 1 1 1 1,1 1 1 1 1,14
2022-02-28 22:50:59.771357,0.5,1 1 1 1 1,1 1 1 1 1,14
2022-02-28 22:51:12.906922,0.6,1 1 1 1 1,1 1 1 1 1,14
2022-02-28 22:51:28.422795,0.6,1 1 1 1 1,1 1 1 1 1,14
2022-02-28 22:51:50.548971,0.5,1 1 1 1 1,96 1 1 133 104,14
2022-02-28 22:52:15.830255,0.4,2 1 2 3 3,96 1 87 133 104,14
2022-02-28 22:52:48.423988,0.5,2 4 2 3 3,96 251 70 133 104,14
2022-02-28 22:53:27.830262,0.5,2 6 3 4 6,96 251 70 59 84,14
2022-02-28 22:54:15.004693,0.4,3 6 3 4 6,91 48 45 52 38,2
2022-02-28 22:54:31.035939,0.5,4 8 4 4 6,91 59 67 52 38,2
2022-02-28 22:54:47.818444,0.5,4 8 5 4 6,94 59 67 52 41,2
2022-02-28 22:55:09.287190,0.5,4 8 5 4 6,94 59 62 52 41,2
2022-02-28 22:55:20.871723,2.5,4 8 5 4 6,94 15 6 10 8,2
2022-02-28 22:55:35.106090,0.5,4 8 5 4 6,94 15 6 10 8,2
2022-02-28 22:55:54.902767,0.5,4 8 5 4 6,1 3 6 10 8,2
2022-02-28 22:56:14.357410,0.5,4 8 5 4 6,1 3 6 10 1,2
2022-02-28 22:56:26.107343,0.5,4 8 5 4 6,1 3 1 1 1,2
2022-02-28 22:56:50.107346,0.5,4 8 5 4 6,1 3 1 1 1,2
2022-02-28 22:57:08.405419,0.5,4 8 5 4 6,1 1 1 1 1,2
2022-02-28 22:57:24.311668,0.5,4 8 5 4 6,1 1 1 1 1,2
2022-02-28 22:57:38.592920,1.4,4 8 5 4 6,1 1 1 1 1,2
2022-02-28 22:57:53.546061,0.5,4 8 5 4 6,1 1 1 1 1,2
2022-02-28 22:58:14.983544,1.4,4 8 5 4 6,1 1 1 1 1,2
2022-02-28 22:58:35.124708,0.5,4 8 5 4 6,1 1 1 1 1,2
2022-02-28 22:58:52.655960,1.5,4 8 5 4 5,1 1 1 1 1,2
2022-02-28 22:59:09.124978,0.5,4 8 5 4 5,1 1 1 1 1,2
2022-02-28 22:59:28.140871,0.5,4 8 5 4 5,1 1 25 1 1,2
2022-02-28 22:59:48.458037,2.6,4 8 5 4 5,1 1 25 1 1,2
2022-02-28 23:00:02.088784,0.5,4 8 4 4 5,1 1 1 1 1,2
2022-02-28 23:00:16.745037,1.2,4 2 4 1 1,1 1 1 1 1,2
2022-02-28 23:00:22.151279,0.5,4 2 3 1 1,1 1 1 1 1,2
2022-02-28 23:00:31.088256,0.5,4 2 3 1 1,1 1 1 1 1,2
2022-02-28 23:00:39.697627,0.5,1 1 3 1 1,1 1 1 1 1,2
2022-02-28 23:00:45.713255,0.5,1 1 3 1 1,1 1 1 1 1,2
2022-02-28 23:00:51.775357,0.5,1 1 3 1 1,1 1 1 1 1,2
2022-02-28 23:00:56.894608,0.4,1 1 3 1 1,1 1 1 1 1,2
2022-02-28 23:01:04.569297,0.5,1 1 3 1 1,1 1 1 1 1,2
2022-02-28 23:01:13.583166,1.3,1 1 3 1 1,1 1 1 2 1,2
2022-02-28 23:01:20.433737,0.5,1 1 3 1 1,1 1 1 2 1,2
2022-02-28 23:01:28.760160,0.5,1 1 3 1 1,1 1 1 2 1,2
2022-02-28 23:01:39.962934,0.5,1 1 3 1 1,1 1 1 2 2,2
2022-02-28 23:01:49.657829,0.5,1 1 3 1 1,1 2 1 2 2,2
2022-02-28 23:01:55.663080,0.5,1 1 3 1 1,1 2 1 2 2,2
2022-02-28 23:02:07.743119,1.5,1 1 3 1 1,1 2 1 2 2,2
2022-02-28 23:02:12.626548,0.5,1 1 3 1 1,1 2 1 2 2,2
2022-02-28 23:02:17.912606,0.5,1 1 3 1 1,1 2 1 2 2,2
2022-02-28 23:02:25.672003,0.5,1 1 3 1 1,1 2 1 2 2,2
2022-02-28 23:02:32.006322,0.5,1 1 3 1 1,1 2 1 2 2,2
2022-02-28 23:02:42.672784,1.3,1 1 3 1 1,1 1 1 2 2,2
2022-02-28 23:02:48.742186,1.3,1 1 3 1 1,1 1 1 2 2,2
2022-02-28 23:02:54.189615,0.5,1 1 3 1 1,1 1 1 2 2,2
2022-02-28 23:03:03.092811,0.5,1 1 3 1 1,1 1 1 2 2,2
2022-02-28 23:03:09.350781,0.5,1 1 3 1 1,1 1 1 2 2,2
2022-02-28 23:03:17.847954,0.5,1 1 3 1 1,1 1 1 2 2,2
2022-02-28 23:03:25.231394,0.5,1 1 3 1 1,1 1 1 2 2,2
2022-02-28 23:03:33.615479,0.5,1 1 3 1 1,1 1 1 2 2,2
2022-02-28 23:03:40.372921,0.6,1 1 3 1 1,1 2 1 2 2,2
2022-02-28 23:03:49.349260,2.5,1 1 3 1 1,1 2 1 2 2,2
2022-02-28 23:04:00.537947,0.5,1 1 3 1 1,1 2 1 2 2,2
2022-02-28 23:04:12.633819,0.5,1 1 3 1 1,1 2 1 1 2,2
2022-02-28 23:04:22.956202,3.2,1 1 3 1 1,1 2 1 1 2,2
2022-02-28 23:04:30.853755,0.5,1 1 3 1 1,1 2 1 1 2,2
2022-02-28 23:04:37.871679,0.5,1 1 3 1 1,1 2 1 1 2,2
2022-02-28 23:04:45.642863,0.5,1 1 1 1 1,1 2 1 1 2,2
2022-02-28 23:04:51.945539,0.5,1 1 1 1 1,1 2 1 1 2,2
2022-02-28 23:04:58.013514,0.9,1 1 1 1 1,1 2 1 1 2,14
2022-02-28 23:05:02.340011,0.5,1 1 1 1 1,1 2 1 1 1,14
2022-02-28 23:05:06.447713,0.4,1 1 1 1 1,1 2 1 1 1,14
2022-02-28 23:05:11.133516,0.4,1 1 1 1 1,1 2 1 1 1,14
2022-02-28 23:05:17.623772,0.6,1 1 1 1 1,1 2 1 1 1,14
2022-02-28 23:05:24.740313,0.4,1 1 1 1 1,1 2 1 1 1,14
2022-02-28 23:05:32.404263,0.5,1 1 1 1 1,69 2 1 1 95,14
2022-02-28 23:05:44.445080,0.6,1 1 1 1 1,69 185 1 60 95,14
2022-02-28 23:05:52.838557,0.5,2 1 1 2 2,69 185 99 60 95,14
2022-02-28 23:05:58.801185,0.5,2 4 2 2 2,69 185 99 60 95,14
2022-02-28 23:06:06.436344,0.5,2 4 2 2 2,69 185 99 64 95,14
2022-02-28 23:06:15.198999,0.5,2 4 2 2 2,69 68 99 64 95,14
2022-02-28 23:06:26.384315,1.3,2 4 2 3 2,69 68 99 64 95,14
2022-02-28 23:06:40.530438,0.5,2 6 2 3 2,90 68 99 64 90,14
2022-02-28 23:06:55.583102,1.3,4 6 2 3 4,90 71 85 64 90,14
2022-02-28 23:07:11.840121,0.4,4 9 4 3 4,90 71 85 64 90,14
2022-02-28 23:07:26.961988,0.5,4 9 4 3 4,90 71 85 73 90,14
2022-02-28 23:07:37.589839,0.5,4 9 4 5 4,50 71 85 73 37,14
2022-02-28 23:07:56.107299,0.4,4 9 4 5 4,50 48 101 63 37,14
2022-02-28 23:08:10.513363,0.4,4 9 5 5 4,50 48 101 63 44,14
2022-02-28 23:08:22.899601,0.5,4 9 5 5 4,50 44 92 63 44,14
2022-02-28 23:08:33.248923,1.3,4 9 5 5 4,50 44 92 63 44,14
2022-02-28 23:08:42.487867,0.5,4 9 5 5 4,54 44 92 63 35,14
2022-02-28 23:08:53.149099,0.4,4 9 5 5 4,54 44 92 63 35,14
2022-02-28 23:09:03.979564,0.5,4 9 5 5 4,54 44 92 63 35,14
2022-02-28 23:09:15.244197,0.4,4 9 5 5 4,54 49 92 63 35,14
2022-02-28 23:09:30.511260,0.5,4 9 5 5 4,54 49 82 63 35,14
2022-02-28 23:09:39.274320,0.4,4 9 5 5 4,52 49 82 60 42,14
2022-02-28 23:09:56.754672,0.5,4 9 5 5 4,52 49 82 60 42,14
2022-02-28 23:10:09.928868,0.4,4 9 5 5 4,52 49 82 60 42,14
2022-02-28 23:10:23.092493,0.5,4 9 5 5 4,52 45 93 60 42,14
2022-02-28 23:10:40.071893,1.4,4 9 5 5 4,52 45 93 60 42,14
2022-02-28 23:10:57.445708,1.3,4 9 5 5 4,48 45 93 54 54,14
